Title,first,second,third,fourth,fifth,sixth,seventh,eighth,ninth,abbrv,SUM
Titus Andronicus,45,88,52,281,148,165,45,11,3,TA,838
Comedy of Errors,35,97,34,229,140,156,63,25,2,ERR,781
1 Henry 6,16,20,7,61,41,30,18,3,1,1H6,197
2 Henry 6,83,164,73,499,225,308,117,31,13,2H6,1513
3 Henry 6,138,205,143,706,309,347,148,71,3,3H6,2070
Taming of the Shrew,63,117,51,400,221,196,55,31,7,SHR,1141
Richard 3,138,305,120,680,430,445,186,108,20,R3,2432
Two Gentlemen Verona,97,138,76,308,172,222,76,39,12,TGV,1140
Loves Labours Lost,42,69,30,273,154,166,54,30,8,LLL,826
Midsummer Nights Dream,35,88,43,300,229,172,83,33,12,MND,995
Romeo and Juliet,44,157,65,567,323,319,96,59,19,ROM,1649
Richard 2,61,182,90,568,323,375,130,79,14,R2,1822
King John,79,146,57,441,315,287,133,65,24,JN,1547
Merchant of Venice,39,66,42,272,206,212,132,24,9,MV,1002
1 Henry 4,51,90,42,248,187,204,122,31,13,1H4,988
2 Henry 4,60,149,82,340,216,259,127,79,18,2H4,1330
Merry Wives,14,20,19,61,34,51,18,15,8,WIV,240
Much Ado,17,32,25,90,69,78,36,12,7,ADO,366
Henry 5,28,83,50,284,198,242,146,51,14,H5,1096
Julius Caesar,77,114,102,376,311,366,165,61,21,JC,1593
As You Like It,18,37,35,165,111,149,48,21,3,AYL,587
Twelfth Night,8,37,26,136,100,138,60,39,5,TN,549
Hamlet,43,116,63,397,225,405,171,66,16,HAM,1502
Troilus and Cressida,61,122,66,439,213,336,134,78,19,TRO,1468
Measure for Measure,41,88,34,243,156,317,120,76,14,MM,1089
Othello,79,178,82,542,238,483,208,153,42,OTH,2005
Alls Well,9,36,23,205,135,279,123,54,15,AWW,879
Timon,16,44,40,188,142,232,147,79,22,TIM,910
King Lear,40,103,55,354,143,448,183,125,40,LR,1491
Macbeth,36,82,46,270,159,403,142,135,34,MAC,1307
Pericles,5,25,16,80,51,132,66,41,21,PER,437
Antony and Cleopatra,39,105,68,360,293,554,299,255,107,ANT,2080
Coriolanus,37,111,68,381,224,535,314,264,117,COR,2051
Cymbeline,61,158,102,432,332,641,401,421,187,CYM,2735
Winters Tale,44,138,78,380,261,492,307,378,133,WT,2211
Tempest,38,83,49,266,187,333,196,167,85,TMP,1404
Henry 8,24,34,25,156,135,261,200,122,61,H8,1018
Two Noble Kinsmen,10,34,12,111,109,186,129,92,32,TNK,715
Edward 3,2,23,14,119,62,58,19,2,2,E3,301
Spanish Tragedy Add.,20,28,12,33,32,30,14,8,2,SPT,179
Sir Thomas More Iid,0,0,0,9,6,8,9,0,0,STM,32
Arden of Faversham,1,1,1,30,5,13,0,2,0,ARD,53
