"Title","cca_prediction","mean_cca","lower_95","upper_95"
"1H4",1597.1302707021,1597.35160421697,1595.81747118639,1598.92685039098
"1H6",1593.45848499485,1592.34078708377,1591.01617516685,1593.67431372556
"2H4",1597.52391553205,1597.72118774185,1596.31590444105,1599.17040479588
"2H6",1593.03737137001,1593.42881263553,1592.18612944634,1594.64986630041
"3H6",1591.75,1591.75,1591.75,1591.75
"ADO",1596.98000314229,1597.21656569792,1594.74204194829,1599.69518415061
"ALL",1604.49640366761,1604.52303946754,1602.65885440085,1606.28461211664
"ANT",1611.11907523666,1610.92459679794,1609.51402026916,1612.44498781008
"AYL",1596.49720378091,1596.76469296199,1594.98922109087,1598.66471922672
"COR",1612.22404915502,1611.97343087368,1610.39707452074,1613.43600533153
"CYM",1613.99999999999,1613.73074907837,1612.43393657643,1614.00000000015
"E3",1591.79060081948,1592.22637382254,1590.1442228914,1594.39341392817
"ERR",1593.71642773727,1594.02915277388,1592.41785831823,1595.58159644881
"H5",1599.50213255974,1599.63754852997,1598.10462841028,1601.09947318908
"H8",1613.93371219979,1613.33921101606,1611.52385277375,1614.00000000009
"HAM",1599.41412680199,1599.57387300887,1598.27162088693,1600.85567673377
"JC",1599.25,1599.25,1599.25,1599.25
"KJ",1595.75669096041,1596.0417107314,1594.69445595218,1597.37925053628
"LEA",1605.22563488053,1605.21519035905,1603.69612201574,1606.79604798088
"LLL",1594.10830551006,1594.43345364468,1592.81289155881,1596.14169009274
"MAC",1606.40988223256,1606.43165981445,1604.80400289147,1608.09270864043
"MM",1601.96597587467,1602.09071797779,1600.55589837459,1603.6652367526
"MND",1594.59346303069,1594.89756052115,1593.35554285436,1596.3715653734
"MV",1597.01861555754,1597.24781733259,1595.6618130683,1598.74948057469
"MW",1599.15533154177,1599.29938826675,1595.68578526461,1602.82752012366
"OTH",1601.19822545194,1601.257356891,1599.94751983794,1602.57026356975
"PER",1608,1608,1608,1608
"R2",1595.05346493834,1595.34302831339,1594.07243623268,1596.61365793104
"R3",1594.38715065106,1594.69453178425,1593.53941790005,1595.81967793722
"RJ",1593.97568441152,1594.34119688238,1593.08657869349,1595.55220981177
"SHR",1591.24614526768,1591.64242837034,1590.15765511774,1593.01810840025
"SPT",1595.46413578247,1593.97831975091,1590.5938887709,1597.46532220443
"STM",1603.14398545735,1602.94716635264,1596.26441870228,1609.57893779146
"TA",1590.23353025757,1591.36127952483,1589.92058499245,1592.74091159095
"TC",1597.77328569214,1597.97571074562,1596.65375943449,1599.50117562399
"TEM",1610.75,1610.85598539213,1610.74999999987,1611.82576254658
"TGV",1593.29216173314,1593.67330386074,1592.10868360553,1595.16801493547
"TIM",1605.11509565694,1606.19629805021,1604.36774126773,1608.06815729064
"TN",1601.01451872516,1601.17093519269,1599.09428411992,1603.21455292304
"TNK",1612.61576268503,1612.27714271961,1610.18868584741,1614.00000000001
"WIN",1613.95897698258,1613.49753255919,1611.97716126049,1614.00000000012
