"prop","pause","play"
0.0552147239263804,"first","Taming of the Shrew"
0.0850877192982456,"first","Two Gentlemen Verona"
0.054857898215466,"first","2 Henry 6"
0.0666666666666667,"first","3 Henry 6"
0.0535475234270415,"first","1 Henry 6"
0.0536992840095465,"first","Titus Andronicus"
0.0567434210526316,"first","Richard 3"
0.00664451827242525,"first","Edward 3"
0.0448143405889885,"first","Comedy of Errors"
0.0508474576271186,"first","Loves Labours Lost"
0.0351758793969849,"first","Midsummer Nights Dream"
0.0334796926454446,"first","Richard 2"
0.0266828380836871,"first","Romeo and Juliet"
0.0510665804783452,"first","King John"
0.0516194331983806,"first","1 Henry 4"
0.0389221556886228,"first","Merchant of Venice"
0.0451127819548872,"first","2 Henry 4"
0.0583333333333333,"first","Merry Wives"
0.046448087431694,"first","Much Ado"
0.0255474452554745,"first","Henry 5"
0.0483364720652856,"first","Julius Caesar"
0.030664395229983,"first","As You Like It"
0.0286284953395473,"first","Hamlet"
0.0145719489981785,"first","Twelfth Night"
0.111731843575419,"first","Spanish Tragedy Add."
0.0415531335149864,"first","Troilus and Cressida"
0.0376492194674013,"first","Measure for Measure"
0.0394014962593516,"first","Othello"
0,"first","Sir Thomas More Iid"
0.0102389078498294,"first","Alls Well"
0.0175824175824176,"first","Timon"
0.0268276324614353,"first","King Lear"
0.01875,"first","Antony and Cleopatra"
0.0275439938791125,"first","Macbeth"
0.011441647597254,"first","Pericles"
0.0180399804973184,"first","Coriolanus"
0.0199004975124378,"first","Winters Tale"
0.0223034734917733,"first","Cymbeline"
0.0270655270655271,"first","Tempest"
0.0235756385068762,"first","Henry 8"
0.013986013986014,"first","Two Noble Kinsmen"
0.102541630148992,"second","Taming of the Shrew"
0.121052631578947,"second","Two Gentlemen Verona"
0.108393919365499,"second","2 Henry 6"
0.0990338164251208,"second","3 Henry 6"
0.122489959839357,"second","1 Henry 6"
0.105011933174224,"second","Titus Andronicus"
0.125411184210526,"second","Richard 3"
0.0764119601328904,"second","Edward 3"
0.124199743918054,"second","Comedy of Errors"
0.0835351089588378,"second","Loves Labours Lost"
0.0884422110552764,"second","Midsummer Nights Dream"
0.0998902305159166,"second","Richard 2"
0.0952092177077016,"second","Romeo and Juliet"
0.0943762120232708,"second","King John"
0.0910931174089069,"second","1 Henry 4"
0.0658682634730539,"second","Merchant of Venice"
0.11203007518797,"second","2 Henry 4"
0.0833333333333333,"second","Merry Wives"
0.087431693989071,"second","Much Ado"
0.0757299270072993,"second","Henry 5"
0.0715630885122411,"second","Julius Caesar"
0.0630323679727428,"second","As You Like It"
0.0772303595206391,"second","Hamlet"
0.0673952641165756,"second","Twelfth Night"
0.156424581005587,"second","Spanish Tragedy Add."
0.0831062670299728,"second","Troilus and Cressida"
0.0808080808080808,"second","Measure for Measure"
0.0887780548628429,"second","Othello"
0,"second","Sir Thomas More Iid"
0.0409556313993174,"second","Alls Well"
0.0483516483516484,"second","Timon"
0.0690811535881958,"second","King Lear"
0.0504807692307692,"second","Antony and Cleopatra"
0.0627390971690895,"second","Macbeth"
0.05720823798627,"second","Pericles"
0.0541199414919551,"second","Coriolanus"
0.062415196743555,"second","Winters Tale"
0.0577696526508227,"second","Cymbeline"
0.0591168091168091,"second","Tempest"
0.0333988212180747,"second","Henry 8"
0.0475524475524476,"second","Two Noble Kinsmen"
0.0446976336546889,"third","Taming of the Shrew"
0.0666666666666667,"third","Two Gentlemen Verona"
0.0482485128883014,"third","2 Henry 6"
0.0690821256038647,"third","3 Henry 6"
0.0475234270414993,"third","1 Henry 6"
0.0620525059665871,"third","Titus Andronicus"
0.0493421052631579,"third","Richard 3"
0.0465116279069767,"third","Edward 3"
0.0435339308578745,"third","Comedy of Errors"
0.036319612590799,"third","Loves Labours Lost"
0.04321608040201,"third","Midsummer Nights Dream"
0.0493962678375412,"third","Richard 2"
0.039417828987265,"third","Romeo and Juliet"
0.0368455074337427,"third","King John"
0.0425101214574899,"third","1 Henry 4"
0.0419161676646707,"third","Merchant of Venice"
0.0616541353383459,"third","2 Henry 4"
0.0791666666666667,"third","Merry Wives"
0.0683060109289618,"third","Much Ado"
0.0456204379562044,"third","Henry 5"
0.064030131826742,"third","Julius Caesar"
0.0596252129471891,"third","As You Like It"
0.0419440745672437,"third","Hamlet"
0.0473588342440801,"third","Twelfth Night"
0.0670391061452514,"third","Spanish Tragedy Add."
0.0449591280653951,"third","Troilus and Cressida"
0.0312213039485767,"third","Measure for Measure"
0.0408977556109726,"third","Othello"
0,"third","Sir Thomas More Iid"
0.0261660978384528,"third","Alls Well"
0.043956043956044,"third","Timon"
0.0368879946344735,"third","King Lear"
0.0326923076923077,"third","Antony and Cleopatra"
0.035195103289977,"third","Macbeth"
0.0366132723112128,"third","Pericles"
0.0331545587518284,"third","Coriolanus"
0.0352781546811398,"third","Winters Tale"
0.0372943327239488,"third","Cymbeline"
0.0349002849002849,"third","Tempest"
0.0245579567779961,"third","Henry 8"
0.0167832167832168,"third","Two Noble Kinsmen"
0.35056967572305,"fourth","Taming of the Shrew"
0.270175438596491,"fourth","Two Gentlemen Verona"
0.329808327825512,"fourth","2 Henry 6"
0.341062801932367,"fourth","3 Henry 6"
0.317269076305221,"fourth","1 Henry 6"
0.335322195704057,"fourth","Titus Andronicus"
0.279605263157895,"fourth","Richard 3"
0.395348837209302,"fourth","Edward 3"
0.293213828425096,"fourth","Comedy of Errors"
0.330508474576271,"fourth","Loves Labours Lost"
0.301507537688442,"fourth","Midsummer Nights Dream"
0.311745334796926,"fourth","Richard 2"
0.343844754396604,"fourth","Romeo and Juliet"
0.285067873303167,"fourth","King John"
0.251012145748988,"fourth","1 Henry 4"
0.271457085828343,"fourth","Merchant of Venice"
0.255639097744361,"fourth","2 Henry 4"
