"prop","pause","play","titles"
0.0552147239263804,"1",1,"Taming of the Shrew"
0.0850877192982456,"1",2,"Two Gentlemen Verona"
0.054857898215466,"1",3,"2 Henry 6"
0.0666666666666667,"1",4,"3 Henry 6"
0.0535475234270415,"1",5,"1 Henry 6"
0.0536992840095465,"1",6,"Titus Andronicus"
0.0567434210526316,"1",7,"Richard 3"
0.00664451827242525,"1",8,"Edward 3"
0.0448143405889885,"1",9,"Comedy of Errors"
0.0508474576271186,"1",10,"Loves Labours Lost"
0.0351758793969849,"1",11,"Midsummer Nights Dream"
0.0334796926454446,"1",12,"Richard 2"
0.0266828380836871,"1",13,"Romeo and Juliet"
0.0510665804783452,"1",14,"King John"
0.0516194331983806,"1",15,"1 Henry 4"
0.0389221556886228,"1",16,"Merchant of Venice"
0.0451127819548872,"1",17,"2 Henry 4"
0.0583333333333333,"1",18,"Merry Wives"
0.046448087431694,"1",19,"Much Ado"
0.0255474452554745,"1",20,"Henry 5"
0.0483364720652856,"1",21,"Julius Caesar"
0.030664395229983,"1",22,"As You Like It"
0.0286284953395473,"1",23,"Hamlet"
0.0145719489981785,"1",24,"Twelfth Night"
0.111731843575419,"1",25,"Spanish Tragedy Add."
0.0415531335149864,"1",26,"Troilus and Cressida"
0.0376492194674013,"1",27,"Measure for Measure"
0.0394014962593516,"1",28,"Othello"
0,"1",29,"Sir Thomas More Iid"
0.0102389078498294,"1",30,"Alls Well"
0.0175824175824176,"1",31,"Timon"
0.0268276324614353,"1",32,"King Lear"
0.01875,"1",33,"Antony and Cleopatra"
0.0275439938791125,"1",34,"Macbeth"
0.011441647597254,"1",35,"Pericles"
0.0180399804973184,"1",36,"Coriolanus"
0.0199004975124378,"1",37,"Winters Tale"
0.0223034734917733,"1",38,"Cymbeline"
0.0270655270655271,"1",39,"Tempest"
0.0235756385068762,"1",40,"Henry 8"
0.013986013986014,"1",41,"Two Noble Kinsmen"
0.102541630148992,"2",1,"Taming of the Shrew"
0.121052631578947,"2",2,"Two Gentlemen Verona"
0.108393919365499,"2",3,"2 Henry 6"
0.0990338164251208,"2",4,"3 Henry 6"
0.122489959839357,"2",5,"1 Henry 6"
0.105011933174224,"2",6,"Titus Andronicus"
0.125411184210526,"2",7,"Richard 3"
0.0764119601328904,"2",8,"Edward 3"
0.124199743918054,"2",9,"Comedy of Errors"
0.0835351089588378,"2",10,"Loves Labours Lost"
0.0884422110552764,"2",11,"Midsummer Nights Dream"
0.0998902305159166,"2",12,"Richard 2"
0.0952092177077016,"2",13,"Romeo and Juliet"
0.0943762120232708,"2",14,"King John"
0.0910931174089069,"2",15,"1 Henry 4"
0.0658682634730539,"2",16,"Merchant of Venice"
0.11203007518797,"2",17,"2 Henry 4"
0.0833333333333333,"2",18,"Merry Wives"
0.087431693989071,"2",19,"Much Ado"
0.0757299270072993,"2",20,"Henry 5"
0.0715630885122411,"2",21,"Julius Caesar"
0.0630323679727428,"2",22,"As You Like It"
0.0772303595206391,"2",23,"Hamlet"
0.0673952641165756,"2",24,"Twelfth Night"
0.156424581005587,"2",25,"Spanish Tragedy Add."
0.0831062670299728,"2",26,"Troilus and Cressida"
0.0808080808080808,"2",27,"Measure for Measure"
0.0887780548628429,"2",28,"Othello"
0,"2",29,"Sir Thomas More Iid"
0.0409556313993174,"2",30,"Alls Well"
0.0483516483516484,"2",31,"Timon"
0.0690811535881958,"2",32,"King Lear"
0.0504807692307692,"2",33,"Antony and Cleopatra"
0.0627390971690895,"2",34,"Macbeth"
0.05720823798627,"2",35,"Pericles"
0.0541199414919551,"2",36,"Coriolanus"
0.062415196743555,"2",37,"Winters Tale"
0.0577696526508227,"2",38,"Cymbeline"
0.0591168091168091,"2",39,"Tempest"
0.0333988212180747,"2",40,"Henry 8"
0.0475524475524476,"2",41,"Two Noble Kinsmen"
0.0446976336546889,"3",1,"Taming of the Shrew"
0.0666666666666667,"3",2,"Two Gentlemen Verona"
0.0482485128883014,"3",3,"2 Henry 6"
0.0690821256038647,"3",4,"3 Henry 6"
0.0475234270414993,"3",5,"1 Henry 6"
0.0620525059665871,"3",6,"Titus Andronicus"
0.0493421052631579,"3",7,"Richard 3"
0.0465116279069767,"3",8,"Edward 3"
0.0435339308578745,"3",9,"Comedy of Errors"
0.036319612590799,"3",10,"Loves Labours Lost"
0.04321608040201,"3",11,"Midsummer Nights Dream"
0.0493962678375412,"3",12,"Richard 2"
0.039417828987265,"3",13,"Romeo and Juliet"
0.0368455074337427,"3",14,"King John"
0.0425101214574899,"3",15,"1 Henry 4"
0.0419161676646707,"3",16,"Merchant of Venice"
0.0616541353383459,"3",17,"2 Henry 4"
0.0791666666666667,"3",18,"Merry Wives"
0.0683060109289618,"3",19,"Much Ado"
0.0456204379562044,"3",20,"Henry 5"
0.064030131826742,"3",21,"Julius Caesar"
0.0596252129471891,"3",22,"As You Like It"
0.0419440745672437,"3",23,"Hamlet"
0.0473588342440801,"3",24,"Twelfth Night"
0.0670391061452514,"3",25,"Spanish Tragedy Add."
0.0449591280653951,"3",26,"Troilus and Cressida"
0.0312213039485767,"3",27,"Measure for Measure"
0.0408977556109726,"3",28,"Othello"
0,"3",29,"Sir Thomas More Iid"
0.0261660978384528,"3",30,"Alls Well"
0.043956043956044,"3",31,"Timon"
0.0368879946344735,"3",32,"King Lear"
0.0326923076923077,"3",33,"Antony and Cleopatra"
0.035195103289977,"3",34,"Macbeth"
0.0366132723112128,"3",35,"Pericles"
0.0331545587518284,"3",36,"Coriolanus"
0.0352781546811398,"3",37,"Winters Tale"
0.0372943327239488,"3",38,"Cymbeline"
0.0349002849002849,"3",39,"Tempest"
0.0245579567779961,"3",40,"Henry 8"
0.0167832167832168,"3",41,"Two Noble Kinsmen"
