"abbrv","Title","Tarlinskaja_date","cca_prediction","mean_cca","lower_95","upper_95","riverside","oxford"
"1H4","1 Henry 4",1594.09985165508,1597.05671163028,1597.20049867257,1595.64561435262,1598.71741471706,1596.5,1596.5
"1H6","1 Henry 6",1592.3384595715,1593.40688789076,1592.34980723788,1591.10474572652,1593.52229527006,1589.5,1592
"2H4","2 Henry 4",1597.60622667773,1597.45057869178,1597.57146814864,1596.17187551738,1599.04513880789,1598,1597.5
"2H6","2 Henry 6",1592.36909468994,1592.98914641797,1593.43786012867,1592.1706528009,1594.70339343415,1590.5,1591
"3H6","3 Henry 6",1591.6472950889,1591.75,1591.75,1591.75,1591.75,1590.5,1591
"ADO","Much Ado",NA,1596.90836206835,1597.11494922361,1594.88803523568,1599.63855804628,1598.5,1598
"ANT","Antony and Cleopatra",1608.2494783178,1610.96162300694,1610.3365277235,1608.51425387478,1611.93235482805,1606.5,1606
"AWW","Alls Well",1606.31289196177,1604.37322890733,1604.15326761203,1602.34886879669,1606.00953418421,1602.5,1604.5
"AYL","As You Like It",NA,1596.42610105991,1596.67464209871,1594.91318150264,1598.48142926224,1599,1599.5
"COR","Coriolanus",1609.99759370538,1612.0599814339,1611.38301224584,1609.40122429435,1613.05912474447,1607.5,1608
"CYM","Cymbeline",1610.79944979722,1614,1613.23959585226,1611.09906665965,1614.00000000005,1609.5,1610
"E3","Edward 3",NA,1591.74620130131,1592.20811709957,1590.1337675749,1594.33428944241,1593.5,1593
"ERR","Comedy of Errors",1593.45789295933,1593.66399934966,1593.99249772884,1592.5195853466,1595.54937934503,1593,1594
"H5","Henry 5",1598.45181618181,1599.41302638281,1599.43567169219,1597.96878085963,1600.93394222309,1599,1598.5
"H8","Henry 8",1612.66168298118,1613.75846012608,1612.8842973418,1610.65895625678,1614.00000000001,1612.5,1613
"HAM","Hamlet",1602.17161061514,1599.32411322282,1599.38061873312,1598.09723417377,1600.75246160496,1600.5,1600.5
"JC","Julius Caesar",1599.34693365671,1599.25,1599.25,1599.25,1599.25,1599,1599
"JN","King John",1592.89303235222,1595.69279936615,1595.93321253518,1594.61127005132,1597.21888223649,1595,1596
"LLL","Loves Labours Lost",1593.20730500472,1594.0533736811,1594.33881771273,1592.73697585545,1596.05405812588,1594.5,1594.5
"LR","King Lear",1606.97722331931,1605.10106901604,1604.78597764955,1603.2467738989,1606.40964225868,1605,1605.5
"MAC","Macbeth",1607.30478947297,1606.27945201255,1605.95180950907,1604.07955976462,1607.80531650002,1606,1606
"MM","Measure for Measure",1604.26248744145,1601.86164943178,1601.80524502003,1600.18547092291,1603.39874628252,1604,1603
"MND","Midsummer Nights Dream",1592.64983376719,1594.53598821953,1594.83368824291,1593.32694648371,1596.28482627481,1595.5,1595
"MV","Merchant of Venice",1598.21523924638,1596.9441346097,1597.06296907957,1595.67161783133,1598.64165161249,1596.5,1596.5
"OTH","Othello",1603.22412539392,1601.10045452991,1600.99590811131,1599.68023526534,1602.3725547409,1604,1603.5
"PER","Pericles",1605.82111933186,1607.25,1607.25,1607.25,1607.25,1607.5,1607
"R2","Richard 2",1594.53281956675,1594.99281166145,1595.28100753961,1594.16637117746,1596.55293069608,1595,1595
"R3","Richard 3",1595.17019599027,1594.33276911464,1594.64993281715,1593.49854056648,1595.70343291103,1592.5,1592.5
"ROM","Romeo and Juliet",1592.61798859268,1593.92085124106,1594.25509870043,1593.06425914595,1595.51695310944,1595.5,1595
"SHR","Taming of the Shrew",1594.13864932093,1591.20974147063,1591.70560773896,1590.28119274858,1593.01492479551,1593.5,1590.5
"SPT","Spanish Tragedy Add.",1598.4964513465,1595.40826954293,1593.95988834061,1590.56643258164,1597.64123890067,1602,1602
"STM","Sir Thomas More",NA,1603.02349683647,1602.61581423235,1596.28416509411,1609.3099239916,1594.5,1603.5
"TA","Titus Andronicus",1590.5,1590.20205412883,1591.41591430445,1589.92387229993,1592.88063969492,1593.5,1592
"TGV","Two Gentlemen Verona",1594.86020687731,1593.24561824605,1593.63222029824,1592.17055399919,1595.16843818488,1594,1590.5
"TIM","Timon",NA,1604.99242152429,1605.74064984053,1603.85866750289,1607.69342030042,1607.5,1605
"TMP","Tempest",1613.5,1610.29623776012,1609.7565830789,1607.7081187622,1611.66182713863,1611,1611
"TN","Twelfth Night",NA,1600.91655762968,1600.8626085334,1598.74634091875,1603.06434363546,1601.5,1601
"TNK","Two Noble Kinsmen",1612.75999454255,1612.44850367474,1611.6883992022,1609.16122061347,1613.99999999984,1613,1613.5
"TRO","Troilus and Cressida",1601.10909885865,1597.69570513785,1597.85150658839,1596.45766767971,1599.17110195024,1601.5,1602
"WIV","Merry Wives of Windsor",NA,1599.07309003377,1599.15815535791,1595.7425658674,1602.78890069503,1597,1597.5
"WT","Winters Tale",1612.38607359047,1613.78832303492,1612.94587084281,1610.92550619006,1614.00000000002,1610.5,1609
