"cca_year","Title","upper_95_CI","lower_95_CI","Shifted_year"
1590.7,"Titus Andronicus",1591.7,1589.7,1590.7
1590.9,"Arden of Faversham",1593.9,1589.5,1590.9
1591,"Taming of the Shrew",1592.2,1590,1591
1591.2,"1 Henry 6",1593.3,1589.5,1591.2
1591.8,"3 Henry 6",1591.8,1591.8,1591.8
1591.9,"Edward 3",1593.2,1590.5,1591.9
1592.8,"2 Henry 6",1593.8,1591.8,1593.8
1593,"Two Gentlemen Verona",1594.3,1591.7,1593.97
1593.5,"Comedy of Errors",1594.7,1592.1,1594.4
1593.5,"Spanish Tragedy Add.",1598,1589.5,1594.4
1593.8,"Love's Labour's Lost",1595,1592.6,1594.65
1593.8,"Romeo and Juliet",1594.8,1592.7,1594.65
1594.2,"Richard 3",1595.1,1593.2,1594.99
1594.4,"Midsummer Night's Dream",1595.6,1593,1595.16
1594.8,"Richard 2",1595.8,1593.7,1595.5
1595.5,"King John",1596.6,1594.3,1596.1
1596.3,"As You Like It",1597.5,1594.8,1596.78
1596.7,"Much Ado",1598.5,1595,1597.12
1596.7,"Merchant of Venice",1597.7,1595.5,1597.12
1596.9,"1 Henry 4",1598,1595.5,1597.29
1597.3,"2 Henry 4",1598.5,1595.8,1597.63
1597.4,"Julius Caesar",1598.3,1596.2,1597.71
1597.5,"Troilus and Cressida",1598.5,1596.2,1597.8
1598.9,"Merry Wives",1602.7,1595.4,1598.99
1599.2,"Hamlet",1600,1597.9,1599.24
1599.5,"Henry 5",1599.5,1599.5,1599.5
1600.8,"Twelfth Night",1602.3,1598.9,1600.8
1601,"Othello",1602,1599.5,1601
1601.7,"Measure for Measure",1602.9,1600.2,1601.7
1602.8,"Sir Thomas More Iid",1610.3,1596,1602.8
1604.3,"All's Well",1605.4,1602.5,1604.3
1605,"King Lear",1606,1603.4,1605
1606.1,"Timon",1607,1604.3,1606.1
1606.2,"Macbeth",1607.4,1604.5,1606.2
1607.2,"Pericles",1607.2,1607.2,1607.2
1611,"Antony and Cleopatra",1611.9,1609.2,1611
1611,"Tempest",1611,1611,1611
1612,"Coriolanus",1612.9,1610,1612
1612.4,"Two Noble Kinsmen",1613.9,1609.9,1612.4
1613.7,"Henry 8",1614,1611.2,1613.7
1613.8,"Winter's Tale",1614,1611.7,1613.8
1614,"Cymbeline",1614,1612.1,1614
