"Title","mean_cca_bootstrap","upper_95_CI","lower_95_CI","Shifted_year"
"Titus Andronicus",1590.73,1591.7,1589.7,1590.7
"Arden of Faversham",1591.05,1593.9,1589.5,1590.9
"Taming of the Shrew",1591.08,1592.2,1590,1591
"1 Henry 6",1591.26,1593.3,1589.5,1591.2
"3 Henry 6",1591.8,1591.8,1591.8,1591.8
"Edward 3",1591.88,1593.2,1590.5,1591.9
"2 Henry 6",1592.83,1593.8,1591.8,1593.8
"Two Gentlemen Verona",1593.08,1594.3,1591.7,1593.97
"Comedy of Errors",1593.45,1594.7,1592.1,1594.4
"Spanish Tragedy Add.",1593.57,1598,1589.5,1594.4
"Love's Labour's Lost",1593.83,1595,1592.6,1594.65
"Romeo and Juliet",1593.73,1594.8,1592.7,1594.65
"Richard 3",1594.16,1595.1,1593.2,1594.99
"Midsummer Night's Dream",1594.3,1595.6,1593,1595.16
"Richard 2",1594.77,1595.8,1593.7,1595.5
"King John",1595.44,1596.6,1594.3,1596.1
"As You Like It",1596.11,1597.5,1594.8,1596.78
"Much Ado",1596.69,1598.5,1595,1597.12
"Merchant of Venice",1596.59,1597.7,1595.5,1597.12
"1 Henry 4",1596.73,1598,1595.5,1597.29
"2 Henry 4",1597.21,1598.5,1595.8,1597.63
"Julius Caesar",1597.29,1598.3,1596.2,1597.71
"Troilus and Cressida",1597.39,1598.5,1596.2,1597.8
"Merry Wives",1598.78,1602.7,1595.4,1598.99
"Hamlet",1598.93,1600,1597.9,1599.24
"Henry 5",1599.5,1599.5,1599.5,1599.5
"Twelfth Night",1600.53,1602.3,1598.9,1600.8
"Othello",1600.77,1602,1599.5,1601
"Measure for Measure",1601.49,1602.9,1600.2,1601.7
"Sir Thomas More Iid",1602.56,1610.3,1596,1602.8
"All's Well",1603.88,1605.4,1602.5,1604.3
"King Lear",1604.67,1606,1603.4,1605
"Timon",1605.67,1607,1604.3,1606.1
"Macbeth",1605.88,1607.4,1604.5,1606.2
"Pericles",1607.2,1607.2,1607.2,1607.2
"Antony and Cleopatra",1610.53,1611.9,1609.2,1611
"Tempest",1611.01,1611,1611,1611
"Coriolanus",1611.57,1612.9,1610,1612
"Two Noble Kinsmen",1611.88,1613.9,1609.9,1612.4
"Henry 8",1613.09,1614,1611.2,1613.7
"Winter's Tale",1613.29,1614,1611.7,1613.8
"Cymbeline",1613.52,1614,1612.1,1614
