"abbrv","pause"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"TA","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"ERR","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"1H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
"2H6","first"
