"play","pause","prop"
1,1,0.0516194331983806
2,1,0.0651340996168582
3,1,0.0451127819548872
4,1,0.0542285345384119
5,1,0.0678605089538172
6,1,0.0102389078498294
7,1,0.01875
8,1,0.030664395229983
9,1,0.0448143405889885
10,1,0.0180399804973184
11,1,0.0223034734917733
12,1,0.00664451827242525
13,1,0.0286284953395473
14,1,0.0255474452554745
15,1,0.0235756385068762
16,1,0.0483364720652856
17,1,0.0510665804783452
18,1,0.0268276324614353
19,1,0.0508474576271186
20,1,0.0275439938791125
21,1,0.0376492194674013
22,1,0.0389221556886228
23,1,0.0583333333333333
24,1,0.0351758793969849
25,1,0.046448087431694
26,1,0.0394014962593516
27,1,0.011441647597254
28,1,0.0334796926454446
29,1,0.0567434210526316
30,1,0.0266828380836871
31,1,0
32,1,0.109289617486339
33,1,0.0552147239263804
34,1,0.0270655270655271
35,1,0.0267782426778243
36,1,0.0502092050209205
37,1,0.0415531335149864
38,1,0.0145719489981785
39,1,0.0850877192982456
40,1,0.013986013986014
41,1,0.0199004975124378
1,2,0.0910931174089069
2,2,0.0919540229885057
3,2,0.11203007518797
4,2,0.1078114912847
5,2,0.100848256361923
6,2,0.0409556313993174
7,2,0.0504807692307692
8,2,0.0630323679727428
9,2,0.124199743918054
10,2,0.0541199414919551
11,2,0.0577696526508227
12,2,0.0764119601328904
13,2,0.0772303595206391
14,2,0.0757299270072993
15,2,0.0333988212180747
16,2,0.0715630885122411
17,2,0.0943762120232708
18,2,0.0690811535881958
19,2,0.0835351089588378
20,2,0.0627390971690895
21,2,0.0808080808080808
22,2,0.0658682634730539
23,2,0.0833333333333333
24,2,0.0884422110552764
25,2,0.087431693989071
26,2,0.0887780548628429
27,2,0.05720823798627
28,2,0.0998902305159166
29,2,0.125411184210526
30,2,0.0952092177077016
31,2,0
32,2,0.153005464480874
33,2,0.102541630148992
34,2,0.0591168091168091
35,2,0.0535564853556485
36,2,0.117154811715481
37,2,0.0831062670299728
38,2,0.0673952641165756
39,2,0.121052631578947
40,2,0.0475524475524476
41,2,0.062415196743555
1,3,0.0425101214574899
2,3,0.0306513409961686
3,3,0.0616541353383459
4,3,0.0581020012911556
5,3,0.0669180018850141
6,3,0.0261660978384528
7,3,0.0326923076923077
8,3,0.0596252129471891
9,3,0.0435339308578745
10,3,0.0331545587518284
11,3,0.0372943327239488
12,3,0.0465116279069767
13,3,0.0419440745672437
14,3,0.0456204379562044
15,3,0.0245579567779961
16,3,0.064030131826742
17,3,0.0368455074337427
18,3,0.0368879946344735
19,3,0.036319612590799
20,3,0.035195103289977
21,3,0.0312213039485767
22,3,0.0419161676646707
23,3,0.0791666666666667
24,3,0.04321608040201
25,3,0.0683060109289618
26,3,0.0408977556109726
27,3,0.0366132723112128
28,3,0.0493962678375412
29,3,0.0493421052631579
30,3,0.039417828987265
31,3,0
32,3,0.0655737704918033
33,3,0.0446976336546889
34,3,0.0349002849002849
35,3,0.0368200836820084
36,3,0.0535564853556485
37,3,0.0449591280653951
38,3,0.0473588342440801
39,3,0.0666666666666667
40,3,0.0167832167832168
41,3,0.0352781546811398
1,4,0.251012145748988
2,4,0.298850574712644
3,4,0.255639097744361
4,4,0.312459651387992
5,4,0.328463713477851
6,4,0.233219567690557
7,4,0.173076923076923
8,4,0.281090289608177
9,4,0.293213828425096
10,4,0.185763042418333
11,4,0.157952468007313
12,4,0.395348837209302
13,4,0.264314247669774
14,4,0.259124087591241
15,4,0.153241650294695
16,4,0.236032642812304
17,4,0.285067873303167
18,4,0.237424547283702
19,4,0.330508474576271
20,4,0.206579954093344
21,4,0.223140495867769
22,4,0.271457085828343
23,4,0.254166666666667
24,4,0.301507537688442
25,4,0.245901639344262
26,4,0.270324189526185
27,4,0.183066361556064
28,4,0.311745334796926
29,4,0.279605263157895
30,4,0.343844754396604
31,4,0.28125
32,4,0.180327868852459
33,4,0.35056967572305
34,4,0.189458689458689
35,4,0.231799163179916
36,4,0.352301255230126
37,4,0.299046321525886
38,4,0.247723132969035
39,4,0.270175438596491
40,4,0.155244755244755
41,4,0.171867933061963
1,5,0.189271255060729
2,5,0.199233716475096
3,5,0.162406015037594
4,5,0.16010329244674
5,5,0.15928369462771
6,5,0.15358361774744
7,5,0.140865384615385
8,5,0.189097103918228
9,5,0.179257362355954
10,5,0.109215017064846
11,5,0.121389396709324
12,5,0.205980066445183
13,5,0.149800266311585
14,5,0.180656934306569
15,5,0.132612966601179
16,5,0.195229127432517
17,5,0.203619909502262
18,5,0.0959087860496311
19,5,0.186440677966102
20,5,0.121652639632747
21,5,0.143250688705234
22,5,0.205588822355289
23,5,0.141666666666667
24,5,0.230150753768844
25,5,0.188524590163934
26,5,0.118703241895262
27,5,0.116704805491991
28,5,0.177277716794731
29,5,0.176809210526316
30,5,0.195876288659794
31,5,0.1875
32,5,0.174863387978142
33,5,0.193689745836985
34,5,0.133190883190883
35,5,0.140585774058577
36,5,0.171548117154812
37,5,0.145095367847411
38,5,0.182149362477231
39,5,0.150877192982456
40,5,0.152447552447552
41,5,0.118046132971506
1,6,0.206477732793522
2,6,0.206896551724138
3,6,0.194736842105263
4,6,0.204648160103292
5,6,0.163996229971725
6,6,0.31740614334471
7,6,0.266346153846154
8,6,0.253833049403748
9,6,0.199743918053777
10,6,0.260848366650414
11,6,0.23436928702011
12,6,0.192691029900332
13,6,0.269640479360852
14,6,0.220802919708029
15,6,0.256385068762279
16,6,0.229755178907721
17,6,0.18552036199095
18,6,0.300469483568075
19,6,0.200968523002421
20,6,0.308339709257842
21,6,0.2910927456382
22,6,0.211576846307385
23,6,0.2125
24,6,0.17286432160804
25,6,0.213114754098361
26,6,0.240897755610973
27,6,0.302059496567506
28,6,0.205817782656422
29,6,0.182976973684211
30,6,0.193450576106731
31,6,0.25
32,6,0.163934426229508
33,6,0.171779141104294
34,6,0.237179487179487
35,6,0.255230125523013
36,6,0.192468619246862
37,6,0.228882833787466
38,6,0.251366120218579
39,6,0.194736842105263
40,6,0.26013986013986
41,6,0.222523744911805
1,7,0.123481781376518
2,7,0.0804597701149425
3,7,0.0954887218045113
4,7,0.0735958683021304
5,7,0.0702167766258247
6,7,0.139931740614334
7,7,0.14375
8,7,0.0817717206132879
9,7,0.0806658130601793
10,7,0.153096050706972
11,7,0.146617915904936
12,7,0.0631229235880399
13,7,0.113848202396804
14,7,0.133211678832117
15,7,0.196463654223969
16,7,0.103578154425612
17,7,0.085972850678733
18,7,0.122736418511066
19,7,0.0653753026634383
20,7,0.108645753634277
21,7,0.110192837465565
22,7,0.131736526946108
23,7,0.075
24,7,0.0834170854271357
25,7,0.0983606557377049
26,7,0.103740648379052
27,7,0.151029748283753
28,7,0.0713501646542261
29,7,0.0764802631578947
30,7,0.0582171012734991
31,7,0.28125
32,7,0.0765027322404372
33,7,0.0482033304119194
34,7,0.13960113960114
35,7,0.145606694560669
36,7,0.0476987447698745
37,7,0.0912806539509537
38,7,0.109289617486339
39,7,0.0666666666666667
40,7,0.18041958041958
41,7,0.138851198552691
1,8,0.0313765182186235
2,8,0.0153256704980843
3,8,0.0593984962406015
4,8,0.0225952227243383
5,8,0.0386427898209237
6,8,0.0614334470989761
7,8,0.122596153846154
8,8,0.0357751277683135
9,8,0.0320102432778489
10,8,0.128717698683569
11,8,0.153930530164534
12,8,0.00664451827242525
13,8,0.0439414114513981
14,8,0.0465328467153285
15,8,0.119842829076621
16,8,0.0382925298179535
17,8,0.0420168067226891
18,8,0.0838363514419852
19,8,0.036319612590799
20,8,0.103289977046672
21,8,0.0697887970615243
22,8,0.0239520958083832
23,8,0.0625
24,8,0.0331658291457286
25,8,0.0327868852459016
26,8,0.0763092269326683
27,8,0.0938215102974828
28,8,0.0433589462129528
29,8,0.0444078947368421
30,8,0.0357792601576713
31,8,0
32,8,0.0491803278688525
33,8,0.0271691498685364
34,8,0.118945868945869
35,8,0.0861924686192469
36,8,0.0142259414225941
37,8,0.053133514986376
38,8,0.0710382513661202
39,8,0.0342105263157895
40,8,0.128671328671329
41,8,0.170963364993216
1,9,0.0131578947368421
2,9,0.0114942528735632
3,9,0.0135338345864662
4,9,0.00645577792123951
5,9,0.00377002827521206
6,9,0.0170648464163823
7,9,0.0514423076923077
8,9,0.00511073253833049
9,9,0.00256081946222791
10,9,0.0570453437347635
11,9,0.0683729433272395
12,9,0.00664451827242525
13,9,0.0106524633821571
14,9,0.0127737226277372
15,9,0.0599214145383104
16,9,0.0131826741996234
17,9,0.015513897866839
18,9,0.0268276324614353
19,9,0.00968523002421308
20,9,0.0260137719969396
21,9,0.0128558310376492
22,9,0.00898203592814371
23,9,0.0333333333333333
24,9,0.0120603015075377
25,9,0.0191256830601093
26,9,0.0209476309226933
27,9,0.0480549199084668
28,9,0.00768386388583974
29,9,0.00822368421052632
30,9,0.0115221346270467
31,9,0
32,9,0.0273224043715847
33,9,0.00613496932515337
34,9,0.0605413105413105
35,9,0.0234309623430962
36,9,0.000836820083682008
37,9,0.0129427792915531
38,9,0.00910746812386157
39,9,0.0105263157894737
40,9,0.0447552447552448
41,9,0.060153776571687
