"play","pause","prop"
"1 Henry 4","first",0.0516194331983806
"1 Henry 6","first",0.0651340996168582
"2 Henry 4","first",0.0451127819548872
"2 Henry 6","first",0.0542285345384119
"3 Henry 6","first",0.0678605089538172
"All's Well","first",0.0102389078498294
"Antony and Cleopatra","first",0.01875
"As You Like It","first",0.030664395229983
"Comedy of Errors","first",0.0448143405889885
"Coriolanus","first",0.0180399804973184
"Cymbeline","first",0.0223034734917733
"Edward 3","first",0.00664451827242525
"Hamlet","first",0.0286284953395473
"Henry 5","first",0.0255474452554745
"Henry 8","first",0.0235756385068762
"Julius Caesar","first",0.0483364720652856
"King John","first",0.0510665804783452
"King Lear","first",0.0268276324614353
"Love's Labour's Lost","first",0.0508474576271186
"Macbeth","first",0.0275439938791125
"Measure for Measure","first",0.0376492194674013
"Merchant of Venice","first",0.0389221556886228
"Merry Wives","first",0.0583333333333333
"Midsummer Night's Drm","first",0.0351758793969849
"Much Ado","first",0.046448087431694
"Othello","first",0.0394014962593516
"Pericles","first",0.011441647597254
"Richard 2","first",0.0334796926454446
"Richard 3","first",0.0567434210526316
"Romeo and Juliet","first",0.0266828380836871
"Sir Thomas More Iid","first",0
"Spanish Tragedy Add.","first",0.109289617486339
"Taming of the Shrew","first",0.0552147239263804
"Tempest","first",0.0270655270655271
"Timon","first",0.0267782426778243
"Titus Andronicus","first",0.0502092050209205
"Troilus and Cressida","first",0.0415531335149864
"Twelfth Night","first",0.0145719489981785
"Two Gentlemen Verona","first",0.0850877192982456
"Two NobleKinsmen","first",0.013986013986014
"Winter's Tale","first",0.0199004975124378
"1 Henry 4","second",0.0910931174089069
"1 Henry 6","second",0.0919540229885057
"2 Henry 4","second",0.11203007518797
"2 Henry 6","second",0.1078114912847
"3 Henry 6","second",0.100848256361923
"All's Well","second",0.0409556313993174
"Antony and Cleopatra","second",0.0504807692307692
"As You Like It","second",0.0630323679727428
"Comedy of Errors","second",0.124199743918054
"Coriolanus","second",0.0541199414919551
"Cymbeline","second",0.0577696526508227
"Edward 3","second",0.0764119601328904
"Hamlet","second",0.0772303595206391
"Henry 5","second",0.0757299270072993
"Henry 8","second",0.0333988212180747
"Julius Caesar","second",0.0715630885122411
"King John","second",0.0943762120232708
"King Lear","second",0.0690811535881958
"Love's Labour's Lost","second",0.0835351089588378
"Macbeth","second",0.0627390971690895
"Measure for Measure","second",0.0808080808080808
"Merchant of Venice","second",0.0658682634730539
"Merry Wives","second",0.0833333333333333
"Midsummer Night's Drm","second",0.0884422110552764
"Much Ado","second",0.087431693989071
"Othello","second",0.0887780548628429
"Pericles","second",0.05720823798627
"Richard 2","second",0.0998902305159166
"Richard 3","second",0.125411184210526
"Romeo and Juliet","second",0.0952092177077016
"Sir Thomas More Iid","second",0
"Spanish Tragedy Add.","second",0.153005464480874
"Taming of the Shrew","second",0.102541630148992
"Tempest","second",0.0591168091168091
"Timon","second",0.0535564853556485
"Titus Andronicus","second",0.117154811715481
"Troilus and Cressida","second",0.0831062670299728
"Twelfth Night","second",0.0673952641165756
"Two Gentlemen Verona","second",0.121052631578947
"Two NobleKinsmen","second",0.0475524475524476
"Winter's Tale","second",0.062415196743555
"1 Henry 4","third",0.0425101214574899
"1 Henry 6","third",0.0306513409961686
"2 Henry 4","third",0.0616541353383459
"2 Henry 6","third",0.0581020012911556
"3 Henry 6","third",0.0669180018850141
"All's Well","third",0.0261660978384528
"Antony and Cleopatra","third",0.0326923076923077
"As You Like It","third",0.0596252129471891
"Comedy of Errors","third",0.0435339308578745
"Coriolanus","third",0.0331545587518284
"Cymbeline","third",0.0372943327239488
"Edward 3","third",0.0465116279069767
"Hamlet","third",0.0419440745672437
"Henry 5","third",0.0456204379562044
"Henry 8","third",0.0245579567779961
"Julius Caesar","third",0.064030131826742
"King John","third",0.0368455074337427
"King Lear","third",0.0368879946344735
"Love's Labour's Lost","third",0.036319612590799
"Macbeth","third",0.035195103289977
"Measure for Measure","third",0.0312213039485767
"Merchant of Venice","third",0.0419161676646707
"Merry Wives","third",0.0791666666666667
