date,status
1592.4767,closed
1592.9945,open
1593.0904,closed
1594.2054,open
1603.164384,closed
1603.331507,open
1603.369863,closed
1604.287671,open
1604.369863,closed
1604.750685,open
1605.126027,closed
1605.249315,open
1605.75068,closed
1606.00274,open
1606.20274,closed
1606.287671,open
1606.454795,closed
1607.249315,open
1607.287671,closed
1608.249315,open
1608.536986,closed
1610.087671,open
1610.161644,closed
1610.249315,open
1610.369863,closed
1610.416438,open
1610.49589,closed
1610.917808,open
1611.087671,closed
1611.20274,open
1612.164384,closed
1612.287671,open
1612.873973,closed
1612.956164,open
1613.126027,closed
1613.20274,open
1613.49863,closed
1613.99726,open
