"Title","cca_prediction","mean_cca","lower_95","upper_95"
"1H4",1597.09182901499,1597.29149571517,1595.69580821493,1598.9308532175
"1H6",1593.42171030723,1592.32933000216,1591.06456848032,1593.47558799306
"2H4",1597.48678614593,1597.68012986518,1596.23779676776,1599.17525642997
"2H6",1593.00075823091,1593.44474179073,1592.18954647695,1594.71116917213
"3H6",1591.75,1591.75,1591.75,1591.75
"ADO",1596.94202732516,1597.2112756353,1594.82201046188,1599.67931466605
"ALL",1604.45109630495,1604.44362750248,1602.58540972828,1606.2405835315
"ANT",1611.07578264487,1610.8088938855,1609.26423564363,1612.37887709248
"AYL",1596.45753235119,1596.72466566994,1595.00451553795,1598.50621689884
"COR",1612.18049283013,1611.87774439134,1610.35630408211,1613.42506956726
"CYM",1614,1613.68615067385,1612.29994774264,1614.00000000012
"E3",1591.75221865048,1592.19640795289,1590.20426689491,1594.39429374527
"ERR",1593.67940264443,1594.01638374477,1592.41586144383,1595.74369839832
"H5",1599.46169882109,1599.62018069309,1598.17665068714,1601.23518498031
"H8",1613.88913979054,1613.33294193094,1611.6221313815,1614.00000000007
"HAM",1599.37249384714,1599.52820078993,1598.26517452209,1600.86032369493
"JC",1599.25,1599.25,1599.25,1599.25
"KJ",1595.72006308476,1595.99315261224,1594.65982577354,1597.24589973006
"LEA",1605.18222656061,1605.11037996829,1603.52916167137,1606.62998906821
"LLL",1594.07164746886,1594.38171727869,1592.76250836842,1596.09681296941
"MAC",1606.36682219223,1606.27581848626,1604.68593444723,1607.9472700788
"MM",1601.92408492651,1602.03042338818,1600.33573497779,1603.6070473615
"MND",1594.55676571219,1594.86971934401,1593.27492311435,1596.47063820475
"MV",1596.97912928987,1597.16440855589,1595.70679820852,1598.71891188383
"MW",1599.11851292699,1599.31074278445,1595.97993232905,1602.79631921248
"OTH",1601.15837235844,1601.20463709912,1599.90397897775,1602.54586345963
"PER",1607.25,1607.25,1607.25,1607.25
"R2",1595.01590713359,1595.33112850953,1594.09925109091,1596.51080333209
"R3",1594.35147882844,1594.69144478764,1593.52271118214,1595.79156796673
"RJ",1593.93842126595,1594.28286854572,1593.00588632576,1595.54326056107
"SHR",1591.21144856631,1591.65993735832,1590.21976848022,1593.00141669114
"SPT",1595.43169758565,1593.96755545368,1590.57471373429,1597.47265241794
"STM",1603.09610337466,1602.91814708898,1595.88785881502,1609.68983415873
"TA",1590.19795794635,1591.34416286492,1589.8589860562,1592.70793574077
"TC",1597.7344466466,1597.97487508382,1596.64042580161,1599.2245697988
"TEM",1610.75,1610.82816833966,1610.74999999978,1611.68938436153
"TGV",1593.25772470199,1593.63956075356,1592.10977873355,1595.10221049432
"TIM",1605.07284895127,1606.13326226482,1604.25008165633,1607.94716919185
"TN",1600.97336053569,1601.09795540143,1598.94366142002,1603.38023795103
"TNK",1612.57139383628,1612.16819075958,1609.88514009722,1614
"WIN",1613.91760804863,1613.43490430547,1611.85728137524,1614.00000000007
