first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
0,2,6,17,13,16,11,3,2
0,0,3,11,9,18,13,4,0
2,2,7,17,21,27,23,10,0
3,7,3,37,21,45,21,5,4
0,0,0,0,0,0,0,0,0
0,5,3,25,28,45,13,11,4
0,2,0,0,1,6,1,0,0
2,3,0,2,6,15,4,5,1
0,0,0,1,3,5,3,0,0
0,2,3,6,8,18,12,6,0
0,0,0,1,0,2,3,2,0
1,2,1,7,4,7,6,2,0
0,0,1,7,10,15,8,3,1
0,0,0,1,3,1,1,1,0
0,1,0,8,3,11,4,0,0
0,2,1,2,3,7,1,1,0
0,2,0,13,7,15,10,5,3
0,1,0,10,4,4,1,1,0
0,1,0,4,1,9,8,1,0
0,0,0,0,0,0,0,0,0
1,0,0,3,2,6,5,0,0
0,0,0,0,0,0,0,0,0
2,7,3,40,40,77,38,7,5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
