first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
8,13,16,52,35,41,18,5,0
3,9,4,16,8,4,11,5,0
3,2,2,12,1,10,3,1,0
12,13,10,54,23,15,8,6,2
7,11,9,48,21,21,12,6,0
5,3,6,39,20,15,6,2,0
0,4,2,20,4,7,1,1,0
0,0,3,3,1,0,0,0,0
4,15,8,50,21,19,4,7,0
7,9,4,21,12,17,9,1,0
11,4,3,33,10,19,5,2,0
13,14,7,47,19,19,4,5,1
8,23,17,61,30,29,15,11,0
14,16,4,34,19,20,10,3,1
0,4,0,5,3,5,3,0,0
6,3,2,10,5,5,1,2,0
2,4,1,5,4,2,0,0,0
0,3,0,6,6,1,0,3,0
5,11,7,18,12,9,7,2,1
9,10,2,27,12,9,4,2,0
1,6,6,15,10,6,3,1,0
3,10,13,20,19,20,4,5,1
5,5,2,13,6,11,6,3,0
1,1,0,6,1,1,2,0,0
2,3,5,29,8,15,4,2,1
11,10,5,30,12,8,3,2,1
4,6,3,16,9,15,5,4,0
0,2,1,7,7,5,1,1,0
