first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
2,3,0,7,9,8,5,1,0
9,15,11,42,39,56,26,4,2
7,12,16,35,34,25,16,11,2
17,22,13,65,59,75,29,13,3
2,10,7,22,20,17,4,1,1
0,1,0,3,0,0,1,0,0
1,1,2,10,8,9,4,2,0
14,16,12,55,43,53,22,8,2
11,17,20,56,31,38,22,6,4
0,0,0,1,0,0,0,0,0
1,2,1,13,8,7,5,0,1
3,5,2,16,9,5,5,1,0
12,18,28,43,64,61,29,12,2
2,12,7,26,14,22,18,6,0
2,0,0,0,3,1,0,0,0
3,6,6,20,19,22,11,4,1
1,1,3,7,9,5,2,2,3
4,7,6,20,14,15,7,6,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
