first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
3,2,5,21,22,16,10,1,2
0,0,0,0,0,0,0,0,0
1,8,4,21,21,21,11,2,1
1,3,1,2,7,4,3,1,0
1,1,0,9,3,7,4,0,0
0,1,1,4,2,0,1,0,0
1,1,1,5,1,3,1,0,0
1,2,0,11,4,8,1,0,1
6,5,2,11,7,7,5,2,0
1,2,2,18,4,10,8,0,1
0,4,4,6,5,4,6,1,0
3,5,0,10,10,7,10,0,0
0,0,0,0,0,0,0,0,0
1,14,5,41,53,37,35,5,1
0,2,2,6,6,4,3,1,0
0,3,0,7,10,16,2,0,0
1,0,1,4,6,2,0,0,1
2,2,3,15,23,16,14,2,0
0,3,1,2,4,2,2,0,0
10,6,4,43,24,30,23,4,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
