first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
3,1,3,20,27,52,32,12,0
4,3,7,19,35,78,56,9,4
3,3,1,13,19,30,28,4,0
1,2,4,15,15,35,27,7,3
1,2,3,14,10,27,27,1,3
1,11,4,20,19,61,49,13,5
0,5,0,14,13,17,31,12,1
0,0,2,5,5,16,9,5,1
4,3,2,11,12,23,15,6,0
0,4,1,4,8,14,4,1,0
4,6,2,13,17,33,27,10,3
0,7,3,14,19,30,31,3,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
