title,oxford,abbrv,pos2,pos4,pos6,pos8,pos10,pos1,pos3,pos5,pos7,pos9,wb2,wb3,wb4,wb5,wb6,wb7,wb8,wb9,wb10,wb11,sb2,sb3,sb4,sb5,sb6,sb7,sb8,sb9,sb10,sb11,runon_lines,proclit,enclitic,do,ed_eth,ion,gramm_invers,meter_sense,syntax_runons,tem_total,fem_simple,fem_compunt,lines_alliter
Taming of the Shrew,1590.5,SHR,64.9,87.2,68.6,74.3,88.6,30.1,9.1,9.1,7.3,3.7,40.2,26.7,46.2,40.4,37.8,30.5,37.8,27.8,81.5,18.5,9.7,6.0,22.4,14.4,11.0,4.9,2.8,1.2,73.7,16.9,9.4,252.4,41.9,25.1,11.9,3.7,8.9,42.0,9.4,18.5,11.4,2.7,135.3
Two Gentlemen Verona,1590.5,TGV,63.6,81.0,67.0,70.3,87.2,28.9,8.8,7.7,7.2,5.1,40.5,24.5,47.4,33.8,39.2,30.0,36.5,25.7,81.8,18.2,11.7,6.1,19.0,10.3,12.8,4.8,2.8,0.5,70.4,14.9,14.3,274.8,32.9,30.2,25.4,8.9,16.5,30.2,14.3,18.2,14.1,4.5,135.7
2 Henry 6,1591,2H6,69.4,85.1,70.0,74.7,87.9,30.6,8.8,7.7,7.9,3.4,43.1,26.5,51.3,34.5,40.9,31.7,36.3,28.0,87.7,12.3,9.4,4.0,20.0,9.0,11.6,5.4,1.6,0.6,77.6,11.1,11.3,269.8,33.1,31.1,23.0,8.9,30.7,70.3,11.3,12.3,10.0,1.8,140.5
3 Henry 6,1591,3H6,76.2,89.4,72.8,78.3,90.4,30.5,9.3,9.4,7.5,4.3,44.9,28.9,50.7,35.1,41.2,30.9,38.7,28.9,87.5,12.5,9.4,6.4,23.6,10.7,10.8,4.8,1.9,0.5,80.1,11.6,8.4,300,44.8,23.7,21.5,7.1,12,27.9,8.4,12.5,10.7,1.9,107.7
1 Henry 6,1592,1H6,72.6,84.0,68.8,76.8,88.6,28.2,10.5,10.5,6.3,5.4,43.9,25.0,47.1,36.4,37.9,31.8,37.6,29.5,81.5,18.5,6.2,2.1,16.6,9.5,10.0,6.2,2.5,0.0,76.3,17.4,6.5,221.0,13.9,35.1,37.7,7.2,11.1,41.8,11.7,5.3,5.2,0.1,134.2
Titus Andronicus,1592,TA,68.5,87.6,69.4,78.4,89.7,32.6,9.0,8.0,7.4,3.7,43.6,37.5,49.3,37.1,40.9,29.8,36.9,32.2,90.2,9.8,9.9,5.7,21.3,10.4,11.1,3.9,1.5,0.5,80.4,9.1,10.7,293.4,43.1,30.0,31.6,8.0,24.3,58.3,10.7,9.8,10.7,1.3,215.1
Richard 3,1592.5,R3,64.7,84.8,68.7,75.3,89.9,32.3,11.2,9.2,8.3,5.0,43.0,25.1,47.2,37.9,43.0,28.1,39.1,29.4,80.8,19.2,12.6,4.4,19.6,11.3,13.1,4.5,2.2,0.8,70.9,17.3,11.8,340.4,41.8,30.6,15.4,9.2,10.4,71.2,11.8,19.2,16.6,3.3,215.7
Edward 3,1593,E3,70.4,87.6,72.3,74.3,90.5,24.2,8.8,9.3,7.0,3.6,47.2,23.8,50.2,35.8,37.7,32.8,36.9,30.5,89.3,10.7,,,,,,,,,,,,,,,,,,,,,,,
Comedy of Errors,1594,ERR,68.5,85.4,68.4 ,75.0,91.0,27.8,8.7,9.5,7.7,5.1,41.2,26.2,47.7,36.5,40.5,29.6,39.6,27.1,85.4,14.6,12.7,5.9,21.5,13.0,13.1,7.0,2.9,0.9,75.2,13.5,11.3,247.3,51.5,51.5,45.7,23.9,9.4,14.5,72.5,13.5,10.6,2.9,133.4
Loves Labours Lost,1594.5,LLL,67.8,86.4,70.7,74.2,89.8,30.0,12.3,12.2,10.4,7.7,43.8,20.6,52.1,34.1,42.8,30.1,37.0,36.0,94.1,5.9,8.3,4.3,23.2,12.5,14.0,6.0,3.5,1.1,80.4,5.4,14.2,351.1,58.5,45.6,19.8,3.2,65.4,92.7,14.2,5.9,5.1,0.3,142.1
Midsummer Nights Dream,1595,MND,65.5,85.5,68.8,75.0,85.4,28.2,9.5,10.4,9.3,6.6,41.4,25.3,46.3,38.4,38.9,31.3,35.4,29.6,95.6,4.4,9.6,3.8,20.9,13.2,13.2,5.4,2.6,1.3,83.3,4.4,13.0,308.8,45.6,65.6,22.8,8.6,68.5,133.4,13.0,4.6,3.8,0.8,174.0
Richard 2,1595,R2,68.8,85.2,70.0,75.6,91.0,27.0,11.3,9.4,9.4,5.9,44.6,26.4,46.8,37.8,42.5,29.8,38.1,31.5,90.4,9.6,8.1,3.4,19.1,10.1,12.8,4.9,2.8,0.7,73.2,8.4,18.4,315.8,52.5,36.1,16.7,3.8,33.9,68.1,18.4,9.6,8.7,0.9,151.1
Romeo and Juliet,1595,ROM,65.7,87.2,68.3,75.6,88.5,33.2,13.4,13.0,12.3,7.5,40.5,26.1,51.7,35.3,39.6,29.5,37.0,30.0,94.0,6.0,10.2,4.8,25.7,13.0,14.0,4.4,3.4,1.6,81.9,5.4,12.7,370.3,49.0,36.3,23.5,7.6,12.8,62.2,12.7,6.0,6.7,0.7,121.4
